Factor,Eigenvalue,Variance_Explained_%,Cumulative_Variance_%,Likely_Construct,Top_Loading_Items,Highest_Loading
Factor_1,3.434794085830986,8.178081156740442,8.178081156740442,PE,"PE2, PE4, PE1",0.8511676480146916
Factor_2,2.6361558949682227,6.276561654686244,14.454642811426687,EE,"EE1, EE2, EE3",0.8579882496097745
Factor_3,2.5179320890546215,5.995076402511003,20.44971921393769,HB,"HB4, HB3, HB2",0.8272574267777666
Factor_4,2.3608666122190347,5.621110981473892,26.070830195411588,RP,"RP3, RP4, RP1",0.8834210180901372
Factor_5,2.1312968961650025,5.074516419440482,31.14534661485207,TT,"TT2, TT3, TT1",0.8580395794306277
Factor_6,2.0604640947659107,4.9058668922997875,36.05121350715186,EM,"EM3, EM2, EM1",0.8738245108608929
Factor_7,2.026680049042239,4.825428688195807,40.87664219534767,HM,"HM1, HM2, HM3",0.7974314739402292
Factor_8,1.6328735769009268,3.8877942307164925,44.76443642606416,RC,"RC1, RC2, EE4",0.8233987330029489
Factor_9,1.5214012602670552,3.622383953016798,48.38682037908096,PV,"PV1, PV2, PV3",0.8235972924783547
Factor_10,1.3307271323092575,3.1683979340696613,51.55521831315062,BI,"BI2, BI3, BI1",0.6428074886010011
Factor_11,1.2856240792555054,3.0610097125131084,54.61622802566373,SI,"SI1, SI3, SI2",0.6664261636149634
Factor_12,0.9947660184889754,2.368490520211846,56.984718545875566,FC,"FC2, FC3, FC4",0.48606762336433335
